Author(s),Title,Year,Subject
Kerstin Fischer (Volume Editor),Approaches to Discourse Particles,2006,Semantics
John Oyiborhoro,Aural Rehabilitation for People with Disabilities,2004,Rehabilitation
John Neuhoff,Ecological Psychoacoustics,2004,"Physiological & neuro-psychology, biopsychology"
Željko Boškovi?,On the Nature of the Syntax-Phonology Interface,2001,"Grammar, syntax"
Myriam Bras; Laure Vieu,Semantic and Pragmatic Issues in Discourse and Dialogue,2001,Semantics
Peter Nosco,Remembering Paradise,1990,"Literary studies: classical, early & medieval"
Beverly Bossler,Powerful Relations,1998,Asian history
Sucheta Mazumdar,Sugar and Society in China,1998,Asian history
Alfreda Murck,Poetry and Painting in Song China,2002,Asian history
John Makeham,Lost Soul,2008,Asian history
Anne Burkus-Chasson,Through a Forest of Chancellors,2010,Asian history
Yuming He,Home and the World,2013,Asian history
Nicolas Tackett,The Destruction of the Medieval Chinese Aristocracy,2014,Asian history
Wei-Ping Lin,Materializing Magic Power,2015,Social & cultural anthropology
Chang Woei Ong,"Li Mengyang, the North-South Divide, and Literati Learning in Ming China",2016,Asian history
Stephen Owen,Just a Song,2019,Asian history
William A. Joseph; Christine P.W. Wong; David Zweig (Editors),New Perspectives on the Cultural Revolution,1991,Asian history
Edgar Snow; John K. Fairbank,"Random Notes on Red China, 1936–1945",1957,Asian history
John K. Fairbank,Ch'ing Documents,1959,Asian history
Edward J.M. Rhoads,"The Chinese Red Army, 1927–1963",1964,Military history
Andrew Nathan,A History of the China International Famine Relief Commission,1965,Asian history
George Moseley,A Sino-Soviet Cultural Frontier,1966,Asian history
Carl F. Nathan,"Plague Prevention and Politics in Manchuria, 1910–1931",1967,Asian history
James Pusey,Wu Han,1969,Literary studies: general
Peter Frost,The Bakumatsu Currency Crisis,1970,Asian history
Robert R. Campbell,James Duncan Campbell,1970,Asian history
Jerome Alan Cohen (Volume Editor),The Dynamics of China’s Foreign Relations,1970,Asian history
Ezra Vogel; Margie Sargent; Vivienne B. Shue; Thomas Jay Mathews; Deborah S. Davis,The Cultural Revolution in the Provinces,1971,Asian history
Benjamin I. Schwartz (Volume Editor),Reflections on the May Fourth Movement,1972,Asian history
W.P.J. Hall,"A Bibliographical Guide to Japanese Research on the Chinese Economy, 1958–1970",1972,Asian history
Lee-hsia Hsu Ting,"Government Control of the Press in Modern China, 1900–1949",1974,Asian history
Fred W. Drake,China Charts the World,1975,Asian history
Meishi Tsai,"Contemporary Chinese Novels and Short Stories, 1949–1974",1979,Literary studies: general
Barry Keenan,The Dewey Experiment in China,1977,Asian history
Sang-Chul Suh,"Growth and Structural Changes in the Korean Economy, 1910–1940",1978,Asian history
Noel F. McGinnv; Donald R. Snodgrass; Shin-Bok Kim; Quee-Young Kim; Yung Bong Kim,Education and Development in Korea,1980,Asian history
Noriko Kamachi,Reform in China,1981,Asian history
Jonathan K. Ocko,Bureaucratic Reform in Provincial China,1982,Asian history
John E. Wills,Embassies and Illusions,1984,Asian history
Christine Guth Kanda,Shinz?,1985,Shintoism
Chang-tai Hung,Going to the People,1985,Literary studies: general
Richard von Glahn,The Country of Streams and Grottoes,1987,Asian history
Ellen Widmer,The Margins of Utopia,1987,Asian history
Parks M. Coble,Facing Japan,1991,Asian history
Susan Downing Videen,Tales of Heich?,1989,"Literary studies: classical, early & medieval"
Mary Elizabeth Berry,Hideyoshi,1982,"Biography: historical, political & military"
Charles Shir? Inouye,The Similitude of Blossoms,1998,Literary studies: general
Rebecca E. Karl; Peter Zarrow (Editors),Rethinking the 1898 Reform Period,2002,Asian history
Kevin O'Rourke,The Book of Korean Shijo,2002,Literary studies: poetry & poets
Jordan Sand,House and Home in Modern Japan,2003,Asian history
Brian Platt,Burning and Building,2004,Asian history
Wai-yee Li,The Readability of the Past in Early Chinese Historiography,2007,"Literary studies: classical, early & medieval"
Stephen Owen,The Late Tang,2006,"Literary studies: classical, early & medieval"
Paul Rouzer,A New Practical Primer of Literary Chinese,2007,Language teaching & learning
Eugene Y. Park,Between Dreams and Reality,2007,Asian history
sem Versmeersch,The Power of the Buddhas,2008,Buddhism
Jeffrey Snyder-Reinke,Dry Spells,2008,Asian history
Si-yen Fei,Negotiating Urban Space,2010,Asian history
Robert Ashmore,The Transport of Reading,2010,Literary studies: general
Mark Jones,Children as Treasures,2010,Asian history
David B. Lurie,Realms of Literacy,2011,Asian history
Barbara Mittler,A Continuous Revolution,2016,The arts: general issues
Satoru Saito,"HEAM 345 Saito, Detective Fiction & Rise o.t. Japanese Novel",2012,Crime & mystery
Atsuko Hirai,Government by Mourning,2014,Modern history to 20th century: c 1700 to c 1900
Jeffrey Paul Bayliss,On the Margins of Empire,2013,Colonialism & imperialism
Michel Mohr,"Buddhism, Unitarianism, and the Meiji Competition for Universality",2014,Asian history
Melek Ortabasi,The Undiscovered Country,2014,Biography: general
Paize Keulemans,Sound Rising from the Paper,2014,Asian history
Catherine L. Phipps,Empires on the Waterfront,2015,Asian history
Barry Eichengreen; Wonhyuk Lim; Yung Chul Park; Dwight H. Perkins,The Korean Economy,2015,Industrial relations & trade unions law
Miri Nakamura (Volume Editor),Monstrous Bodies,2015,Asian history
Hu Ying,Burying Autumn,2016,Literary studies: general
Mark E. Byington,The Ancient State of Puy? in Northeast Asia,2016,Asian history
Anna Andreeva,Assembling Shinto,2017,Asian history
Michael P. Cronin,Osaka Modern,2017,Biography: literary
Nathan Hopson,Ennobling Japan's Savage Northeast,2017,Asian history
Hwansoo Ilmee Kim,The Korean Buddhist Empire,2019,Asian history
Adam Kern,Manga from the Floating World,2019,Graphic novels: Manga
Jürgen P. Melzer,Wings for the Rising Sun,2020,Asian history
Mary A. Drinkwater (Volume Editor),Beyond Textual Literacy: Visual Literacy for Creative and Critical Inquiry,2011,Cultural studies
M. Soraya García-Sánchez; Cara Judea Alhadeff; Joel Kuennen (Volume Editors),The Erotic in Context,2010,Sexual behaviour
Burcu Genc; Corinna Lenhardt (Volume Editors),Global Perspectives on Villains and Villainy Today,2011,Cultural studies
Monica Evans (Volume Editor),"Videogames Studies: Concepts, Cultures, and Communication",2011,Cultural studies
Georgina Tsolidis (Volume Editor),Identities in Transition,2012,Social issues & processes
Santoshi Rana; Lynn Frederick; Aysun Kiran (Volume Editors),Exploring Violence in Families and Societies,2011,Violence in society
Elena Xeni (Volume Editor),Creative Engagements With Children Inside and Outside School Contexts,2012,Philosophy & theory of education
Artur Matos Alves (Volume Editor),Unveiling the Post-human,2012,Cultural studies
Gabrielle Simpson (Volume Editor),Exploring the Critical Issues of Beauty,2012,Cultural studies
Aundreta Conner Farris; Frieda Pattenden (Volume Editors),"Exploring Visual Literacy Inside, Outside and Through the Frame",2012,Cultural studies
Donna-Louise McGrath (Volume Editor),Global Perspectives on Bullying: Critical Contexts and Spaces,2012,Social issues & processes
Brooke L. Rogers; Anna Sugiyama (Editors),"Space and Place: Diversity in Reality, Imagination, and Representation",2013,Cultural studies
Natalie Walthrust Jones,Diversity and Turbulence in Contemporary Global Migration,2013,Cultural studies
Paul Jerry; Nancy Tavares-Jones; Sue Gregory (Editors),Riding the Hype Cycle: The Resurgence of Virtual Worlds,2013,Cultural studies
Didem K?l?çk?ran; Christina Alegria; Carl Haddrell (Editors),Space and Place: Exploring Critical Issues,2013,Cultural studies
Mark Callaghan,"How Trauma Resonates: Art, Literature and Theoretical Practice",2014,Cultural studies
Alexandra Simon-López; Heidi Yeandle (Editors),A Critical Approach to the Apocalypse,2013,Cultural studies
Paromita Chakrabarti; Natália De’Carli; Joana Patrício (Editors),Violence in the Contemporary World: An Interdisciplinary Approach,2014,Cultural studies
Elsa Bouet,"The (Un)Certain Future of Empathy in Posthumanism, Cyberculture and Science Fiction",2015,Cultural studies
Katarzyna Popak-Bernat; Sara D'Arcy (Editors),"Rethinking the Erotic: Eroticism in Literature, Film, Art and Society",2014,Sexual behaviour
Claudio V. Zanini; Lima Bhuiyan (Editors),This Thing of Darkness: Shedding Light on Evil,2016,Cultural studies
Nate Hinerman,"New Perspectives on the Relationship between Pain, Suffering and Metaphor",2016,Cultural studies
Elena Xeni (Volume Editor),Creating a Visual World: From Concepts to Classrooms,2015,Educational strategies & policy
Robert D. Hermanson; Clare Mumford (Editors),Giving Voice to Silence,2016,Cultural studies
Petra Rehling; Elsa Bouet (Editors),Monstrous Reflection,2014,Cultural studies
Katarzyna Ma?ecka; Rossanna Gibbs (Editors),"And Death Shall Have Dominion: Interdisciplinary Perspectives on Dying, Caregivers, Death, Mourning and the Bereaved",2015,Cultural studies
Elena Xeni (Volume Editor),Exploring Ethnographic and Non-Ethnographic Approaches of Suicide and Self-Harm,2015,Social & cultural anthropology
Brittany Kuhn; Alexia Bhéreur-Lagounaris (Editors),Levelling Up: The Cultural Impact of Contemporary Videogames,2016,Cultural studies
Richard Wirth; Dario Serrati; Katarzyna Macedulska (Editors),Storying Humanity: Narratives of Culture and Society,2015,Literary studies: general
Kathrin Muschalik; Florian Fiddrich (Editors),Sequential Art: Interdisciplinary Approaches to the Graphic Novel,2016,Comic book & cartoon art
William Fourie (Volume Editor),Urban Assemblage,2016,Urban communities
Robert Borsley; Robert Borsley (Editors),The Nature and Function of Syntactic Categories,1999,"Grammar, syntax"
Peter Cole; Peter Cole; Gabriella Hermon; Gabriella Hermon; C.-T. James Huang; C.-T. James Huang (Editors),Long Distance Reflexives,2000,"Grammar, syntax"
Carmen Messerer,Corpus des papyrus grecs sur les relations administratives entre le clergé égyptien et les autorités romaines,2019,Ancient history: to c 500 CE
Isabell Klaiber; Oliver Scheiding; Jan Stievermann (Volume Editors),"Simplify, simplify! Brevity, Plainness and Their Complications in American Literature and Culture",2019,Literature: history & criticism
Anton Losinger,Iusta autonomia,1989,Social & political philosophy
Thomas Langner,Sozialprinzipien im Betrieb,1996,Social & political philosophy
Michael Epkenhans; Ewald Frie (Volume Editors),Politiker ohne Amt,2020,History: earliest times to present day
BARTHOLOMAIOS ARHONDONIS,Begegnung mit dem Mysterium,2019,Orthodox & Oriental Churches
Helga Giersiepen; Andrea Stieldorf (Editors),Über Grenzen hinweg – Inschriften als Zeugnisse kulturellen Austauschs,2020,Classical texts
Andreas Oberdorf,Demetrius Augustinus von Gallitzin,2020,Modern history to 20th century: c 1700 to c 1900
Oliver Heyn,Cheongcheon 1950,2021,Korean War
Andriy Mykhaleyko,Metropolit Andrey Graf Sheptytskyj und das NS-Regime,2020,Orthodox & Oriental Churches
Andreas Neuwöhner; Lars Wolfram (Volume Editors),Leben am Hof zu Neuhaus,2021,Social & cultural history
Robert Rapljenovic,Maxima Scandala in Ecclesia Catholica,2020,Church history
Heidrun E. Mader,Markus und Paulus,2020,Biblical exegesis & hermeneutics
Jonas Schirrmacher,Die Politik der Sklaverei,2018,Slavery & abolition of slavery
Günter Oesterle; Jochen Hörisch; Ernst Behler (Editors),Athenäum - 7. Jahrgang 1997 - Jahrbuch für Romantik,1998,Literary studies: general
Günter Oesterle; Jochen Hörisch; Ernst Behler (Editors),Athenäum - 8. Jahrgang 1998 - Jahrbuch für Romantik,1998,Literary studies: general
Thomas Backhuys,Kölner Papyri (P. Köln) Band 16,2018,History: theory & methods
Ralf Koerrenz,Reform(ing) Education,2020,History of education
Ludwig Siep,Hegel und Europa,2003,Philosophy
Günter Oesterle; Manfred Frank; Jochen Hörisch; Ernst Behler (Editors),Athenäum Jahrbuch für Romantik,2004,Literary studies: general
David Roland Doublet,Die Vernunft als Rechtsinstanz,1988,Philosophy
Hans Lenk,Humane Experimente?,1985,Ethics & moral philosophy
Christopher Busch; Till Dembeck; Maren Jäger (Editors),Ichtexte,2019,Literary studies: general
Ralf Koerrenz,Die Knöpfe,2018,Popular philosophy
Charlott Falkenhagen; Nancy Grimm; Laurenz Volkmann (Editors),Internationalisierung des Lehramtsstudiums,2019,Teacher training
Monika Fink-Lang (Volume Editor),Briefe 2,2020,Cultural studies
Gerhard Hoever; Ludger Honnefelder (Editors),Der Streit um das Gewissen,1993,Philosophy
Mariano Delgado; Lucio Gutiérrez,Die Konzilien auf den Philippinen,2007,Orthodox & Oriental Churches
Markus Scheer,Die Argonauten und Äneas in Amerika,2007,Literary studies: general
Yihong Hu,Unterwegs zum Roman,2007,"Literary studies: fiction, novelists & prose writers"
Andrejs Plakans,The Reluctant Exiles,2021,History of other lands
Hagen Schönrich,Mit der Post in die Zukunft,2021,Social & cultural history
Andrea Thimm,Die Bildung der Moral,2007,Philosophy & theory of education
Georg Gresser,Clemens II.,2007,Religious & spiritual leaders
Lutz Koch; Volker Ladenthin; Gerhard Mertens; Winfried Böhm (Authors); Lutz Koch; Gerhard Mertens; Volker Ladenthin; Ursula Frost; Winfried Böhm (Editors),Handbuch der Erziehungswissenschaft,2008,Education
Dominik Fugger,Das Königreich am Dreikönigstag,2007,History of art / art & design styles
Thomas Söding,Ereignis und Erinnerung,2007,New Testaments
Philip Schmitz,Die Giessener Zenonpapyri,2007,Archaeology
Günter Oesterle; Manfred Frank; Jochen Hörisch; Ernst Behler (Editors),Athenäum Jahrbuch für Romantik,2008,Literary studies: general
Holger Arning,Die Macht des Heils und das Unheil der Macht,2007,Christianity
Christian Hillgruber,Staat und Religion,2007,Political control & freedoms
Klaus Bergdolt,Das Auge und die Theologie,2007,Christianity
Dorothea Steffen,Bürgerliche Rechtseinheit und Politischer Katholizismus,2008,Politics & government
Otto Neumaier,Moralische Verantwortung,2008,Ethics & moral philosophy
Hubert Wolf; Judith Schepers; Juditz Schepers (Editors),In wilder zügelloser Jagd nach Neuem,2009,Christian Churches & denominations
Lluís Martínez Sistach,Die Vereine von Gläubigen,2008,Religious institutions & organizations
Gerd Kampers,Geschichte der Westgoten,2008,History
Hildegard Macha; Monika Witzke; Volker Ladenthin; Norbert Meder; Uwe Uhlendorff; Cristina Allemann-Ghionda (Authors); Hildegard Macha; Monika Witzke; Norbert Meder; Uwe Uhlendorff; Cristina Allemann-Ghionda; Gerhard Mertens (Editors),Handbuch der Erziehungswissenschaft,2009,Education
Volker Hunecke,Europäische Reitermonumente,2008,Museums & museology
Sabine Doering-Manteuffel; Heidrun Alzheimer; Angela Treiber; Daniel Drascek (Editors),Jahrbuch für Europäische Ethnologie,2009,Ethnic studies
Agnieszka Zaganczyk-Neufeld,Die geglückte Revolution,2014,European history
Achim Lichtenberger; Dieter Haller; Meike Meerpohl (Editors),"Essays on Heritage, Tourism and Society in the MENA Region",2015,Museums & museology
Andrea Hopp; Holger Afflerbach; Konrad Canis; Lothar Gall; Eberhard Kolb (Editors),Otto von Bismarck. Gesammelte Werke - Neue Friedrichsruher Ausgabe,2014,Historiography
Hans Waldenfels SJ,Sein Name ist Franziskus,2014,Religious & spiritual leaders
Florian Bock,"Der Fall ""Publik""",2015,"Roman Catholicism, Roman Catholic Church"
Gerda Riedl; Harald Heinrich; Bertram Meier (Editors),Neue Evangelisierung – Kirche konkret,2014,Christianity
Peter Koch,Die Ordenspfarre,2014,Christian life & practice
Judith Wolf; Martin Dabrowski (Editors),Bildungspolitik und Bildungsgerechtigkeit,2008,Education
Norbert Trippen,Joseph Kardinal Höffner (1906-1987),2009,Religious & spiritual leaders
Gisela Drossbach (Volume Editor),Von der Ordnung zur Norm: Statuten in Mittelalter und Früher Neuzeit,2009,Legal history
